global_step,total_samples,epoch,train_loss_perf,train_loss_target,train_loss_total,val_loss_perf,val_loss_target,val_loss_total,val_perf_acc,val_target_acc
170,41336,22,0.2644663393497467,1.5848568320274352,1.8493231713771818,0.3576323240995407,1.4398743510246277,1.7975066751241684,0.9238683127572016,0.9403292181069959
180,43792,23,0.2573573812842369,1.4100988507270813,1.6674562320113182,0.3545827567577362,1.2671366930007935,1.6217194497585297,0.9300411522633745,0.9506172839506173
190,46248,24,0.2525542303919792,1.237123680114746,1.4896779105067253,0.3555476814508438,1.0891765356063843,1.444724217057228,0.9320987654320988,0.9711934156378601
200,48600,25,0.2482429638504982,1.0799560785293578,1.328199042379856,0.35609160363674164,0.9436755180358887,1.2997671216726303,0.9300411522633745,0.9711934156378601
210,51056,27,0.23405184894800185,0.929652601480484,1.163704450428486,0.33274009823799133,0.8064396977424622,1.1391797959804535,0.934156378600823,0.9794238683127572
220,53512,28,0.22351066768169403,0.7913451850414276,1.0148558527231217,0.3151290565729141,0.6968912482261658,1.01202030479908,0.9403292181069959,0.9753086419753086
230,55968,29,0.20478477627038955,0.6819995880126953,0.8867843642830848,0.3028799891471863,0.6002345383167267,0.903114527463913,0.9382716049382716,0.9732510288065843
240,58320,30,0.18957833498716353,0.5778908967971802,0.7674692317843437,0.28960882127285004,0.5094882845878601,0.7990971058607101,0.9444444444444444,0.9753086419753086
250,60776,32,0.1712994933128357,0.4957275778055191,0.6670270711183548,0.2722505256533623,0.4585924595594406,0.7308429852128029,0.934156378600823,0.9732510288065843
260,63232,33,0.15371523350477218,0.4297608345746994,0.5834760680794715,0.27339307218790054,0.3797867149114609,0.6531797870993614,0.9382716049382716,0.9794238683127572
270,65688,34,0.14552214741706848,0.3675006300210953,0.5130227774381637,0.2581319883465767,0.3557768613100052,0.6139088496565819,0.934156378600823,0.9794238683127572
280,68040,35,0.1261020667850971,0.324562069773674,0.45066413655877113,0.24637433141469955,0.31264325976371765,0.5590175911784172,0.9362139917695473,0.9753086419753086
290,70496,37,0.11514935716986656,0.2831794857978821,0.3983288429677487,0.23450736701488495,0.29269202053546906,0.527199387550354,0.9465020576131687,0.9732510288065843
300,72952,38,0.10434492379426956,0.2503619402647018,0.3547068640589714,0.22543710470199585,0.26280738413333893,0.4882444888353348,0.9444444444444444,0.9753086419753086
310,75408,39,0.0976963497698307,0.21712013930082322,0.3148164890706539,0.21823174506425858,0.2364736795425415,0.4547054246068001,0.9465020576131687,0.9732510288065843
320,77760,40,0.08907233849167824,0.1946227192878723,0.28369505777955056,0.21375791728496552,0.2295423448085785,0.443300262093544,0.9444444444444444,0.9732510288065843
330,80216,42,0.0799686998128891,0.17890541404485702,0.2588741138577461,0.21195781975984573,0.21229031682014465,0.4242481365799904,0.9403292181069959,0.9732510288065843
340,82672,43,0.07350842580199242,0.16023246198892593,0.23374088779091834,0.20300906896591187,0.19611037522554398,0.39911944419145584,0.9465020576131687,0.9732510288065843
350,85128,44,0.0680208221077919,0.14501984864473344,0.21304067075252534,0.20548269152641296,0.18809127062559128,0.39357396215200424,0.9423868312757202,0.9753086419753086
360,87480,45,0.06284520924091339,0.13302288800477982,0.1958680972456932,0.19842709600925446,0.18037713319063187,0.3788042291998863,0.9423868312757202,0.9732510288065843
370,89936,47,0.05896313264966011,0.12115554809570313,0.18011868074536325,0.19604118913412094,0.172050341963768,0.36809153109788895,0.9444444444444444,0.9753086419753086
380,92392,48,0.05358742661774159,0.11171531528234482,0.16530274190008643,0.1973806917667389,0.16766679286956787,0.36504748463630676,0.9403292181069959,0.9732510288065843
390,94848,49,0.04941406659781933,0.10302488431334496,0.15243895091116427,0.19384533166885376,0.15869960188865662,0.3525449335575104,0.9423868312757202,0.9732510288065843
400,97200,50,0.04842075556516647,0.09549012184143066,0.14391087740659714,0.1920565664768219,0.15784019231796265,0.34989675879478455,0.9423868312757202,0.9711934156378601
